LOG1;TIPO_ACID;DATA_HORA;DIA_SEM;FERIDOS;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;TEMPO;NOITE_DIA;REGIAO
R DESEMBARGADOR AUGUSTO LOUREIRO LIMA;COLISAO;20080101 02:10;TERCA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV BENTO GONCALVES;ABALROAMENTO;20130101 03:00;TERCA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;CHUVOSO;NOITE;LESTE
AV IPIRANGA;ABALROAMENTO;20130101 04:50;TERCA-FEIRA;0;0;0;0;0;2;0;0;0;0;0;0;0;CHUVOSO;NOITE;CENTRO
AV EDGAR PIRES DE CASTRO;CAPOTAGEM;20130101 07:15;TERCA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;SUL
R ANITA GARIBALDI;CHOQUE;20130101 07:40;TERCA-FEIRA;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV PROTASIO ALVES;ABALROAMENTO;20130101 08:15;TERCA-FEIRA;0;0;0;0;1;0;0;1;0;0;0;0;0;NUBLADO;DIA;LESTE
AV PROTASIO ALVES;ABALROAMENTO;20130101 11:00;TERCA-FEIRA;1;0;0;0;0;0;0;0;0;0;2;0;0;CHUVOSO;DIA;LESTE
R SEPE TIARAJU;COLISAO;20130101 12:00;TERCA-FEIRA;0;0;0;0;2;1;0;0;0;0;0;0;0;BOM;DIA;SUL
R WALT DISNEY;CHOQUE;20130101 16:00;TERCA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
R DR CARLOS MARIA BINS;CHOQUE;20130101 18:10;TERCA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;NORTE
AV PROTASIO ALVES;ABALROAMENTO;20130101 20:40;TERCA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;NOITE;LESTE
AV PROTASIO ALVES;ABALROAMENTO;20130101 21:00;TERCA-FEIRA;0;0;0;0;2;0;0;1;0;0;0;0;0;BOM;NOITE;LESTE
R GEN LIMA E SILVA;CHOQUE;20130101 22:00;TERCA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;NUBLADO;NOITE;CENTRO
AV JUCA BATISTA;EVENTUAL;20130101 22:30;TERCA-FEIRA;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
R DR SALVADOR FRANCA;CHOQUE;20130102 00:00;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV BENTO GONCALVES;ABALROAMENTO;20130102 01:05;QUARTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;NOITE;LESTE
AV JOAO PESSOA;COLISAO;20130102 03:45;QUARTA-FEIRA;2;0;0;0;0;1;0;0;0;1;0;0;0;BOM;NOITE;CENTRO
AV PROTASIO ALVES;ABALROAMENTO;20130102 06:50;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
AV BENTO GONCALVES;ABALROAMENTO;20130102 07:20;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV IPIRANGA;COLISAO;20130102 07:30;QUARTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
R SALDANHA DA GAMA;ABALROAMENTO;20130102 08:15;QUARTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
AV PROTASIO ALVES;ABALROAMENTO;20130102 09:00;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
R COMANDAI;ABALROAMENTO;20130102 11:40;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;NUBLADO;DIA;SUL
R JOSE DO PATROCINIO;CHOQUE;20130102 11:50;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;CENTRO
AV PROTASIO ALVES;COLISAO;20130102 12:27;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;NUBLADO;DIA;LESTE
R SARMENTO LEITE;ABALROAMENTO;20130102 12:41;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
R BADEN POWELL;CHOQUE;20130102 13:00;QUARTA-FEIRA;0;0;0;0;0;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
R CAIRU;ABALROAMENTO;20130102 13:15;QUARTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;NORTE
AV BENTO GONCALVES;COLISAO;20130102 13:35;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV CARLOS GOMES;COLISAO;20130102 13:40;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;NUBLADO;DIA;LESTE
R DR JOAO INACIO;ABALROAMENTO;20130102 13:50;QUARTA-FEIRA;0;0;0;0;1;0;0;1;0;0;0;0;0;BOM;DIA;NORTE
ESTR JOAO DE OLIVEIRA REMIAO;QUEDA;20130102 14:00;QUARTA-FEIRA;2;0;0;0;0;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
R ARABUTAN;ABALROAMENTO;20130102 14:20;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV CEARA;ABALROAMENTO;20130102 15:15;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;NUBLADO;DIA;NORTE
R PROF ANNES DIAS;COLISAO;20130102 15:30;QUARTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
AV TERESOPOLIS;ATROPELAMENTO;20130102 16:38;QUARTA-FEIRA;0;0;1;1;0;0;0;1;0;0;0;0;0;BOM;DIA;SUL
R SERRO AZUL;CHOQUE;20130102 16:48;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;0;0;0;0;NUBLADO;DIA;NORTE
AV SERTORIO;COLISAO;20130102 17:20;QUARTA-FEIRA;0;0;0;0;4;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
R DEA COUFAL;ABALROAMENTO;20130102 17:25;QUARTA-FEIRA;0;0;0;0;1;0;0;1;0;0;0;0;0;BOM;DIA;SUL
AV CHUI;QUEDA;20130102 17:25;QUARTA-FEIRA;1;0;0;0;0;0;0;1;0;0;0;0;0;BOM;DIA;SUL
AV TERESOPOLIS;COLISAO;20130102 18:15;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;NOITE;SUL
R LUIZ VOELCKER;ABALROAMENTO;20130102 18:35;QUARTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;NOITE;LESTE
AV DO FORTE;ABALROAMENTO;20130102 18:45;QUARTA-FEIRA;2;0;0;0;1;0;0;0;0;0;1;0;0;BOM;NOITE;NORTE
R JOSE DE ALENCAR;COLISAO;20130102 19:30;QUARTA-FEIRA;0;0;0;0;3;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
AV IPIRANGA;ABALROAMENTO;20130102 20:40;QUARTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;NOITE;LESTE
R PORTO ALEGRE-LOMBA DO PINHEIRO;CHOQUE;20130102 22:15;QUARTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV BRASILIANO INDIO DE MORAES;CAPOTAGEM;20130102 22:20;QUARTA-FEIRA;2;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;NORTE
R CARLOS ESTEVAO;CHOQUE;20130103 05:50;QUINTA-FEIRA;1;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;NORTE
AV VICENTE MONTEGGIA;COLISAO;20130103 06:10;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV BENTO GONCALVES;QUEDA;20130103 07:00;QUINTA-FEIRA;2;0;0;0;0;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
R ENG FERNANDO DE ABREU PEREIRA;CHOQUE;20130103 07:27;QUINTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
R ANITA GARIBALDI;COLISAO;20130103 07:30;QUINTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV FRANCISCO SILVEIRA BITENCOURT;ABALROAMENTO;20130103 08:05;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV FARRAPOS;COLISAO;20130103 08:22;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
AV MARTINS BASTOS;ABALROAMENTO;20130103 08:30;QUINTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
AV BENTO GONCALVES;COLISAO;20130103 08:32;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
R MARCILIO DIAS;ABALROAMENTO;20130103 08:50;QUINTA-FEIRA;1;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV SATURNINO DE BRITO;COLISAO;20130103 08:55;QUINTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
AV PROTASIO ALVES;QUEDA;20130103 09:00;QUINTA-FEIRA;1;0;0;0;0;0;0;1;0;0;0;0;0;BOM;DIA;LESTE
AV FARRAPOS;COLISAO;20130103 09:30;QUINTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;CENTRO
R DONA LAURA;COLISAO;20130103 09:55;QUINTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;DIA;LESTE
ESTR COSTA GAMA;QUEDA;20130103 10:00;QUINTA-FEIRA;1;0;0;0;0;0;0;0;0;0;1;0;0;BOM;DIA;SUL
AV BENTO GONCALVES;ABALROAMENTO;20130103 10:05;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV BENTO GONCALVES;COLISAO;20130103 10:10;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV DOS ESTADOS;ABALROAMENTO;20130103 10:15;QUINTA-FEIRA;0;0;0;0;0;1;0;0;0;1;0;0;0;BOM;DIA;NORTE
AV SATURNINO DE BRITO;ABALROAMENTO;20130103 10:20;QUINTA-FEIRA;0;0;0;0;3;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV NITEROI;COLISAO;20130103 10:30;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV PLINIO KROEFF;ABALROAMENTO;20130103 10:40;QUINTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
R QUINTINO BOCAIUVA;ABALROAMENTO;20130103 11:00;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;CHUVOSO;DIA;LESTE
AV ASSIS BRASIL;ABALROAMENTO;20130103 11:05;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
R ANCHIETA;ABALROAMENTO;20130103 11:15;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV ASSIS BRASIL;ABALROAMENTO;20130103 12:00;QUINTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;NORTE
AV ASSIS BRASIL;ATROPELAMENTO;20130103 12:00;QUINTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV PROTASIO ALVES;COLISAO;20130103 12:00;QUINTA-FEIRA;2;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV EDVALDO PEREIRA PAIVA;COLISAO;20130103 12:25;QUINTA-FEIRA;0;0;0;0;3;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
R ZEFERINO DIAS;ATROPELAMENTO;20130103 12:29;QUINTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV BALTAZAR DE OLIVEIRA GARCIA;COLISAO;20130103 12:40;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;1;0;0;BOM;DIA;NORTE
ESTR JOAO DE OLIVEIRA REMIAO;COLISAO;20130103 13:00;QUINTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
AV IPIRANGA;ABALROAMENTO;20130103 13:30;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
AV ASSIS BRASIL;ATROPELAMENTO;20130103 13:45;QUINTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV JUCA BATISTA;COLISAO;20130103 14:15;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
R PICASSO;ABALROAMENTO;20130103 14:30;QUINTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;SUL
PCA MARECHAL DEODORO;ABALROAMENTO;20130103 15:10;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
AV ANTONIO CARVALHO;ABALROAMENTO;20130103 15:30;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;CHUVOSO;DIA;LESTE
AV JULIO DE CASTILHOS;COLISAO;20130103 15:37;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
AV DAS INDUSTRIAS;ABALROAMENTO;20130103 15:40;QUINTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;NORTE
AV FARRAPOS;ABALROAMENTO;20130103 16:00;QUINTA-FEIRA;0;0;0;0;0;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
ESTR JOAO DE OLIVEIRA REMIAO;COLISAO;20130103 16:05;QUINTA-FEIRA;0;0;0;0;1;0;1;1;0;0;0;0;0;BOM;DIA;LESTE
AV SERTORIO;ABALROAMENTO;20130103 16:40;QUINTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;DIA;NORTE
R PAULO FONTOURA GASTAL;COLISAO;20130103 17:20;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV ASSIS BRASIL;ABALROAMENTO;20130103 17:27;QUINTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;NORTE
R DR CAMPOS VELHO;COLISAO;20130103 17:40;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV TERESOPOLIS;ABALROAMENTO;20130103 17:45;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
R PINTO BANDEIRA;COLISAO;20130103 17:45;QUINTA-FEIRA;0;0;0;0;1;0;0;1;0;0;0;0;0;BOM;DIA;CENTRO
AV DR NILO PECANHA;ABALROAMENTO;20130103 17:50;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV BALTAZAR DE OLIVEIRA GARCIA;COLISAO;20130103 18:14;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;NORTE
AV WENCESLAU ESCOBAR;COLISAO;20130103 18:15;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
AV WENCESLAU ESCOBAR;CHOQUE;20130103 18:15;QUINTA-FEIRA;0;0;0;0;3;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
R VINTE QUATRO DE OUTUBRO;ABALROAMENTO;20130103 18:23;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV BALTAZAR DE OLIVEIRA GARCIA;COLISAO;20130103 18:30;QUINTA-FEIRA;0;0;0;0;3;0;0;0;0;0;0;0;0;BOM;NOITE;NORTE
AV FRANCISCO SILVEIRA BITENCOURT;ABALROAMENTO;20130103 19:05;QUINTA-FEIRA;1;0;0;0;0;0;0;0;0;1;1;0;0;BOM;NOITE;NORTE
AV CEARA;ABALROAMENTO;20130103 19:35;QUINTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;NOITE;NORTE
ESTR JOAO DE OLIVEIRA REMIAO;ABALROAMENTO;20130103 20:10;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV JUCA BATISTA;ATROPELAMENTO;20130103 20:20;QUINTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
AV BENJAMIN CONSTANT;CHOQUE;20130103 21:15;QUINTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;NOITE;SUL
R DO SINODO;ATROPELAMENTO;20130103 21:40;QUINTA-FEIRA;1;0;0;0;0;0;0;0;0;0;1;0;0;BOM;NOITE;SUL
AV DR NILO PECANHA;ABALROAMENTO;20130103 22:50;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV SANTO DIAS DA SILVA;ATROPELAMENTO;20130104 05:15;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;LESTE
ESTR JOAO DE OLIVEIRA REMIAO;CHOQUE;20130104 05:39;SEXTA-FEIRA;0;0;1;1;0;0;0;0;0;0;1;0;0;BOM;NOITE;LESTE
AV BENTO GONCALVES;CHOQUE;20130104 06:45;SEXTA-FEIRA;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV PAULO GAMA;COLISAO;20130104 07:50;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
R VALPARAISO;COLISAO;20130104 08:00;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
R CAIXA ECONOMICA;ABALROAMENTO;20130104 08:00;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV ASSIS BRASIL;ABALROAMENTO;20130104 08:30;SEXTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
AV CEARA;COLISAO;20130104 08:33;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
TRAV PROF EMETERIO GARCIA FERNANDEZ;ABALROAMENTO;20130104 08:50;SEXTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
R ENG LUIZ ENGLERT;COLISAO;20130104 08:50;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;CENTRO
AV DOS ESTADOS;COLISAO;20130104 08:55;SEXTA-FEIRA;0;0;0;0;0;2;0;0;0;0;0;0;0;BOM;DIA;NORTE
R SANTOS DUMONT;ABALROAMENTO;20130104 09:20;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV VENANCIO AIRES;ABALROAMENTO;20130104 09:30;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
R PROF PEDRO SANTA HELENA;COLISAO;20130104 10:00;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV JOAO PESSOA;COLISAO;20130104 11:00;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;CENTRO
AV DA CAVALHADA;ABALROAMENTO;20130104 11:15;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;SUL
AV JERONIMO DE ORNELAS;CHOQUE;20130104 12:00;SEXTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;CENTRO
AV JUCA BATISTA;COLISAO;20130104 12:10;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;SUL
AV ASSIS BRASIL;COLISAO;20130104 12:29;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV PERNAMBUCO;ABALROAMENTO;20130104 12:30;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV PLINIO BRASIL MILANO;COLISAO;20130104 12:55;SEXTA-FEIRA;0;0;0;0;1;0;0;1;0;0;0;0;0;BOM;DIA;NORTE
R DR TIMOTEO;COLISAO;20130104 13:50;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
R ANITA GARIBALDI;ABALROAMENTO;20130104 14:00;SEXTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;LESTE
AV MARTINS BASTOS;ABALROAMENTO;20130104 14:25;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
R ERECHIM;ABALROAMENTO;20130104 14:30;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV BENTO GONCALVES;COLISAO;20130104 15:10;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;LESTE
AV SERTORIO;ABALROAMENTO;20130104 15:14;SEXTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
R PINTO BANDEIRA;CHOQUE;20130104 15:30;SEXTA-FEIRA;0;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;CENTRO
AV ASSIS BRASIL;CHOQUE;20130104 15:45;SEXTA-FEIRA;0;0;0;0;0;0;0;1;0;0;0;0;0;BOM;DIA;NORTE
R ENG ANTONIO CARLOS TIBIRICA;ABALROAMENTO;20130104 16:10;SEXTA-FEIRA;0;0;0;0;1;0;1;0;0;0;0;0;0;BOM;DIA;LESTE
AV JUCA BATISTA;ATROPELAMENTO;20130104 16:30;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV CEARA;ABALROAMENTO;20130104 16:30;SEXTA-FEIRA;1;0;0;0;0;0;0;0;0;1;1;0;0;BOM;DIA;NORTE
R CAIRU;CHOQUE;20130104 16:50;SEXTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
AV PRINCESA ISABEL;ABALROAMENTO;20130104 17:00;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
AV PRAIA DE BELAS;ABALROAMENTO;20130104 17:00;SEXTA-FEIRA;0;0;0;0;1;0;1;0;0;0;0;0;0;BOM;DIA;SUL
R CRUZEIRO DO SUL;ATROPELAMENTO;20130104 17:10;SEXTA-FEIRA;3;0;0;0;0;0;0;0;0;0;1;0;0;BOM;DIA;SUL
AV ASSIS BRASIL;COLISAO;20130104 17:15;SEXTA-FEIRA;0;0;0;0;3;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV ASSIS BRASIL;COLISAO;20130104 17:30;SEXTA-FEIRA;0;0;0;0;3;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV CEARA;ABALROAMENTO;20130104 17:40;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
R GRACIANO CAMOZZATO;CHOQUE;20130104 17:40;SEXTA-FEIRA;0;0;0;0;0;0;0;0;0;1;0;0;0;BOM;DIA;NORTE
AV PROF OSCAR PEREIRA;QUEDA;20130104 17:40;SEXTA-FEIRA;1;0;0;0;0;0;0;0;0;0;1;0;0;BOM;DIA;SUL
R VOLUNTARIOS DA PATRIA;COLISAO;20130104 17:40;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
AV PRESIDENTE CASTELO BRANCO;COLISAO;20130104 17:50;SEXTA-FEIRA;0;0;0;0;3;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
AV IJUI;ABALROAMENTO;20130104 18:00;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV DA CAVALHADA;COLISAO;20130104 18:25;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
R ITABORAI;ABALROAMENTO;20130104 19:10;SEXTA-FEIRA;1;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
AV DA CAVALHADA;COLISAO;20130104 19:58;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
R MAJOR TITO;ABALROAMENTO;20130104 20:00;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;NOITE;SUL
AV DOS BURGUESES;ABALROAMENTO;20130104 22:20;SEXTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;NOITE;LESTE
AV PRINCESA ISABEL;ATROPELAMENTO;20130104 23:45;SEXTA-FEIRA;1;0;0;0;0;1;0;0;0;0;0;0;0;BOM;NOITE;LESTE
R ANITA GARIBALDI;ABALROAMENTO;20130105 00:15;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;NORTE
AV EDVALDO PEREIRA PAIVA;ABALROAMENTO;20130105 02:30;SABADO;1;0;0;0;1;0;0;0;0;0;1;0;0;BOM;NOITE;SUL
R CEL FERNANDO MACHADO;CAPOTAGEM;20130105 05:15;SABADO;0;0;0;0;3;0;0;0;0;0;0;0;0;BOM;NOITE;CENTRO
R CRUZEIRO DO SUL;ABALROAMENTO;20130105 05:50;SABADO;1;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
AV ASSIS BRASIL;ABALROAMENTO;20130105 06:40;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
R SARGENTO SILVIO DELMAR HOLLENBACH;ABALROAMENTO;20130105 07:00;SABADO;1;0;0;0;1;0;0;1;0;0;0;0;0;BOM;DIA;NORTE
AV IPIRANGA;ATROPELAMENTO;20130105 07:40;SABADO;1;0;0;0;0;0;0;0;0;0;1;0;0;BOM;DIA;LESTE
TUN NS DA CONCEICAO-GALERIA INFERIOR;QUEDA;20130105 08:00;SABADO;1;0;0;0;0;0;0;0;0;0;1;0;0;BOM;DIA;CENTRO
AV SERTORIO;COLISAO;20130105 09:10;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
R MARCOS MOREIRA;ABALROAMENTO;20130105 09:20;SABADO;2;0;0;0;0;1;0;0;0;1;0;0;0;BOM;DIA;NORTE
AV SERTORIO;COLISAO;20130105 09:30;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV MAUA;ABALROAMENTO;20130105 11:05;SABADO;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;DIA;CENTRO
R SARMENTO LEITE;CHOQUE;20130105 12:10;SABADO;0;0;0;0;0;0;0;0;0;1;0;0;0;BOM;DIA;CENTRO
AV DO FORTE;COLISAO;20130105 12:12;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
